"","date","close_prev"
"926",2015-03-23,74.3
"927",2015-03-24,75.17
"928",2015-03-25,82.69
"929",2015-03-26,89
"930",2015-03-27,88.02
"931",2015-03-30,86.01
"932",2015-03-31,80.9
"933",2015-04-01,80.15
"934",2015-04-02,80.13
"935",2015-04-03,80.54
"936",2015-04-14,79.9
"937",2015-04-15,87.89
"938",2015-04-16,96.68
"939",2015-04-17,106.35
"940",2015-04-20,105.1
"941",2015-04-21,102.58
"942",2015-04-22,112.84
"943",2015-04-30,124.12
"944",2015-05-04,136.53
"945",2015-05-05,137.77
"946",2015-05-06,143.8
"947",2015-05-07,140
"948",2015-05-08,144
"949",2015-05-11,151.95
"950",2015-05-12,163.35
"951",2015-05-13,163.38
"952",2015-05-14,158
"953",2015-05-15,158.94
"954",2015-05-18,156.52
"955",2015-05-19,152.88
"956",2015-05-20,156
"957",2015-05-21,160.51
"958",2015-05-22,176.56
"959",2015-05-25,174.3
"960",2015-05-26,167.7
"961",2015-05-27,164.86
"962",2015-05-28,160.9
"963",2015-05-29,163.96
"964",2015-06-01,161.09
"965",2015-06-02,168.89
"966",2015-06-03,159.81
"967",2015-06-04,159.43
"968",2015-06-05,155.66
"969",2015-06-08,153
"970",2015-06-09,153.65
"971",2015-06-10,155.36
"972",2015-06-11,162
"973",2015-06-12,158.87
"974",2015-06-15,158
"975",2015-06-16,149.4
"976",2015-06-17,144.51
"977",2015-06-18,146.25
"978",2015-06-19,143.3
"979",2015-06-23,136.06
"980",2015-06-24,128.67
"981",2015-06-25,123.8
"982",2015-06-26,111.42
"983",2015-06-29,108.7
"984",2015-06-30,119.57
"985",2015-07-01,131.53
"986",2015-07-02,135.88
"987",2015-07-03,122.29
"988",2015-07-06,127.89
"989",2015-07-07,121.39
"990",2015-07-08,109.25
"991",2015-07-14,98.33
"992",2015-07-15,108.16
"993",2015-07-16,118.98
"994",2015-07-17,117.95
"995",2015-07-20,127.88
"996",2015-07-21,140.66
"997",2015-07-22,141
"998",2015-07-23,137.14
"999",2015-07-24,138
"1000",2015-07-27,130.54
