date,open,high,low,close,close_prev,change_pct,volume,amount
2020/2/19,4049.5862,4085.1704,4042.8451,4051.3107,4057.5108,-0.1528,169046441,2.58E+11
2020/2/20,4062.8968,4148.5287,4055.8105,4144.6561,4051.3107,2.3041,212232624,3.11E+11
2020/2/21,4134.8747,4184.4379,4130.1677,4149.4903,4144.6561,0.1166,217213604,3.27E+11
2020/2/24,4131.8364,4149.0102,4097.1753,4132.8388,4149.4903,-0.4013,212869303,3.26E+11
2020/2/25,4066.302,4126.7075,4020.9075,4123.8543,4132.8388,-0.2174,244167831,3.72E+11
2020/2/26,4070.0994,4132.7817,4061.125,4073.0152,4123.8543,-1.2328,261094061,3.66E+11
2020/2/27,4084.0782,4110.5275,4067.4408,4084.8759,4073.0152,0.2912,181290981,2.82E+11
2020/2/28,3988.7274,4031.1453,3928.0663,3940.0488,4084.8759,-3.5454,230275093,3.30E+11
2020/3/2,3968.8435,4092.5394,3968.8435,4069.6662,3940.0488,3.2897,219313559,3.17E+11
2020/3/3,4125.1356,4147.6525,4067.9094,4091.3615,4069.6662,0.5331,219369777,3.31E+11
2020/3/4,4078.4998,4115.2618,4060.729,4115.0524,4091.3615,0.579,182424730,2.82E+11
2020/3/5,4150.21,4215.8513,4127.0386,4206.7251,4115.0524,2.2277,231823115,3.63E+11
2020/3/6,4158.2021,4181.3102,4135.3901,4138.5072,4206.7251,-1.6216,172475717,2.53E+11
2020/3/9,4063.076,4063.076,3995.1313,3997.1325,4138.5072,-3.4161,208102035,3.05E+11
2020/3/10,3975.2288,4093.0024,3954.7506,4082.7315,3997.1325,2.1415,197416402,2.96E+11
2020/3/11,4090.9348,4091.2704,4028.3964,4028.4289,4082.7315,-1.3301,161656111,2.45E+11
2020/3/12,3976.1139,3987.4336,3926.2704,3950.9111,4028.4289,-1.9243,157060458,2.33E+11
2020/3/13,3771.0139,3937.1806,3765.1479,3895.3128,3950.9111,-1.4072,188296722,2.80E+11
2020/3/16,3899.8598,3899.8598,3720.5127,3727.8398,3895.3128,-4.2993,185968260,2.83E+11
2020/3/17,3739.7833,3786.8908,3618.307,3709.6822,3727.8398,-0.4871,166246129,2.51E+11
2020/3/18,3729.6853,3775.8506,3636.2565,3636.2565,3709.6822,-1.9793,155037547,2.44E+11
2020/3/19,3623.789,3647.9874,3503.1866,3589.0926,3636.2565,-1.297,180807407,2.72E+11
2020/3/20,3629.5126,3663.9517,3588.7766,3653.2239,3589.0926,1.7868,139603000,2.11E+11
2020/3/23,3542.6837,3585.8014,3523.7877,3530.3058,3653.2239,-3.3646,137108790,1.98E+11
2020/3/24,3598.6548,3627.7592,3545.4524,3625.1146,3530.3058,2.6856,143103021,2.09E+11
2020/3/25,3711.4753,3732.6536,3685.9942,3722.5181,3625.1146,2.6869,153495958,2.32E+11
2020/3/26,3692.6083,3736.2536,3681.2668,3698.0472,3722.5181,-0.6574,112310665,1.69E+11
2020/3/27,3746.3914,3758.7827,3709.9213,3710.0605,3698.0472,0.3249,124060995,1.86E+11
2020/3/30,3657.4624,3690.6388,3637.5853,3674.1108,3710.0605,-0.969,126876673,1.81E+11
2020/3/31,3708.1404,3716.0707,3676.2024,3686.1551,3674.1108,0.3278,111453025,1.62E+11
2020/4/1,3682.2966,3731.7799,3670.9653,3675.0758,3686.1551,-0.3006,119352620,1.70E+11
2020/4/2,3656.3225,3734.5306,3652.3167,3734.5306,3675.0758,1.6178,115168209,1.69E+11
2020/4/3,3721.4815,3738.8323,3698.9822,3713.2183,3734.5306,-0.5707,99825083,1.50E+11
2020/4/7,3779.9076,3803.6286,3772.2054,3798.0214,3713.2183,2.2838,142778030,2.08E+11
2020/4/8,3776.4171,3793.0023,3767.2924,3780.3445,3798.0214,-0.4654,111389513,1.62E+11
2020/4/9,3798.4879,3801.7245,3785.3116,3792.8105,3780.3445,0.3298,100485032,1.55E+11
2020/4/10,3794.8429,3824.7441,3758.9599,3769.1782,3792.8105,-0.6231,102444956,1.62E+11
2020/4/13,3751.7093,3769.8764,3740.1936,3753.2566,3769.1782,-0.4224,79053343,1.20E+11
2020/4/14,3777.8343,3825.7599,3764.9838,3825.6991,3753.2566,1.9301,110637585,1.71E+11
2020/4/15,3820.8506,3829.8009,3793.4402,3797.3623,3825.6991,-0.7407,108461984,1.70E+11
2020/4/16,3777.7986,3807.3569,3774.5585,3802.3806,3797.3623,0.1322,95947965,1.47E+11
2020/4/17,3831.9232,3863.4521,3821.4201,3839.4871,3802.3806,0.9759,132004301,2.04E+11
2020/4/20,3845.4598,3853.7984,3831.553,3853.4551,3839.4871,0.3638,100013115,1.52E+11
2020/4/21,3838.2314,3838.2314,3779.9967,3808.0474,3853.4551,-1.1784,102921888,1.55E+11
2020/4/22,3789.1297,3839.3834,3782.2149,3839.3834,3808.0474,0.8229,85899464,1.36E+11
2020/4/23,3851.9132,3857.4709,3826.5565,3829.7525,3839.3834,-0.2508,95508450,1.42E+11
2020/4/24,3826.3116,3827.212,3787.0714,3796.9721,3829.7525,-0.8559,94844135,1.39E+11
2020/4/27,3808.0171,3842.8706,3793.7655,3822.769,3796.9721,0.6794,95462735,1.45E+11
2020/4/28,3835.348,3859.6754,3768.2,3849.1465,3822.769,0.69,122093476,1.84E+11
2020/4/29,3837.5135,3880.7444,3833.7164,3867.032,3849.1465,0.4647,95854590,1.51E+11
2020/4/30,3880.4094,3921.7004,3880.4094,3912.5772,3867.032,1.1778,132917125,2.02E+11
2020/5/6,3867.2587,3937.6909,3865.9875,3936.2539,3912.5772,0.6051,139855675,2.15E+11
2020/5/7,3937.5918,3941.4833,3915.9048,3924.8946,3936.2539,-0.2886,105514646,1.67E+11
2020/5/8,3942.9972,3979.6627,3935.9805,3963.6217,3924.8946,0.9867,116943341,1.90E+11
2020/5/11,3974.7605,3998.0972,3944.5037,3960.1803,3963.6217,-0.0868,122673803,1.94E+11
2020/5/12,3961.3427,3970.1115,3930.2108,3960.2378,3960.1803,0.0015,98250554,1.57E+11
2020/5/13,3946.6428,3972.5254,3932.5711,3968.2529,3960.2378,0.2024,88190669,1.46E+11
2020/5/14,3952.1986,3952.1986,3924.0452,3925.2177,3968.2529,-1.0845,88530004,1.43E+11
